,ASIANPAINT.NS,BHARTIARTL.NS,HDFCBANK.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NTPC.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SUNPHARMA.NS,TATASTEEL.NS,TCS.NS,ULTRACEMCO.NS
M&M.NS,0.02163450513290236,0.024563458400631285,0.02607481585585338,0.042166474382384043,0.015035795008118184,0.03561521824576386,0.017836598648151,0.02102971694178556,0.026337167725855787,0.03284982515849306,0.09062294932550014,0.039366223113955864,0.02378037581877539,0.020518742757359272,0.02684213387205863,0.03757367260816546,0.020455545063958757,0.04003300582633861,0.015780508085544633,0.03253267209520789
MARUTI.NS,0.026172805014536393,0.021703133469579205,0.023708890232258844,0.03831026286294157,0.018488357574210777,0.03407544506015401,0.014746358148647247,0.01608301769547233,0.025775099662996646,0.03006625278909663,0.039366223113955864,0.0740428929657817,0.021378649127003182,0.016066348253956485,0.02738878695548782,0.033601439449043626,0.016263156168184797,0.03505313658521865,0.014310292678106048,0.03147819079168801
NTPC.NS,0.013689509627363974,0.018352003723611822,0.016450198999310203,0.03733277818915871,0.00776570003229773,0.025744358433703877,0.012183491454376326,0.01580223076258124,0.018423485702086816,0.02621235666535674,0.02378037581877539,0.021378649127003182,0.06820159541925322,0.034661701773737535,0.02037840899721334,0.03222990644410365,0.01670083111046246,0.036822402099506775,0.009596128887994762,0.022519563279206168
POWERGRID.NS,0.010512926863567328,0.01634256620738194,0.014607455076274223,0.027898793174948828,0.00664855313275308,0.0211193785832864,0.009149836895481236,0.01386661819397445,0.016121477043361317,0.021566483168239756,0.020518742757359272,0.016066348253956485,0.034661701773737535,0.0621672208672894,0.017155238339242138,0.025042921988699885,0.01211893791483878,0.02761195424499123,0.008395299860365555,0.017638976496155187
RELIANCE.NS,0.021458589454859543,0.02223185706614594,0.02365779644120107,0.037473844790857,0.015603797647805735,0.03021263071314368,0.0183009884238177,0.01666125434427536,0.025163355401614636,0.026663850677740266,0.02684213387205863,0.02738878695548782,0.02037840899721334,0.017155238339242138,0.07364079000879675,0.0324333338211651,0.01948799847471683,0.035993780361839145,0.017140856724570778,0.026093602025211264
SBIN.NS,0.019444744404714803,0.026786039932117783,0.030375283568275686,0.05506906836455585,0.012716277033727635,0.06505021765897943,0.016970785310619848,0.025271727774714915,0.030764349916016686,0.04389372908322485,0.03757367260816546,0.033601439449043626,0.03222990644410365,0.025042921988699885,0.0324333338211651,0.1072269889201393,0.02027296553703888,0.05320288361224033,0.013609566157486175,0.037823527474039935
SUNPHARMA.NS,0.012447896395620868,0.01604817413839892,0.012538601738936766,0.029440099561785796,0.011524931154017762,0.0197948105929255,0.01288097200586898,0.012778106714085509,0.015472888378179698,0.018663589125174265,0.020455545063958757,0.016263156168184797,0.01670083111046246,0.01211893791483878,0.01948799847471683,0.02027296553703888,0.08136027320164099,0.02875267021709496,0.010979110964291161,0.018945539889947433
TATASTEEL.NS,0.02159378380538103,0.029891497459032166,0.027978514094133503,0.09578631309745378,0.013229240321239984,0.0467587879847082,0.021280179473244572,0.02450856465918468,0.02764108384358879,0.04293412945155032,0.04003300582633861,0.03505313658521865,0.036822402099506775,0.02761195424499123,0.035993780361839145,0.05320288361224033,0.02875267021709496,0.1297090194928894,0.019106774011222318,0.04103814559868019
TCS.NS,0.011815811728417974,0.012228083886056862,0.012357656587470648,0.02100983558494308,0.012036480736967144,0.01453363008388636,0.0357887274776846,0.010408999051381084,0.01246425974605438,0.015144665433436219,0.015780508085544633,0.014310292678106048,0.009596128887994762,0.008395299860365555,0.017140856724570778,0.013609566157486175,0.010979110964291161,0.019106774011222318,0.05390454313212739,0.015151452701896632
ULTRACEMCO.NS,0.02715985144445997,0.024176568666374895,0.023852606076801675,0.04129435345866164,0.017243682079143195,0.03640364875749863,0.016392792716686585,0.017078346208813173,0.025454786155337857,0.03331439399459367,0.03253267209520789,0.03147819079168801,0.022519563279206168,0.017638976496155187,0.026093602025211264,0.037823527474039935,0.018945539889947433,0.04103814559868019,0.015151452701896632,0.07042356695829953
