,ASIANPAINT.NS,BHARTIARTL.NS,HDFCBANK.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NTPC.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SUNPHARMA.NS,TATASTEEL.NS,TCS.NS,ULTRACEMCO.NS
M&M.NS,0.2902000009991742,0.27864579961332336,0.391160376383698,0.36493328027806277,0.22424218505395255,0.3885147516365055,0.2246251344901712,0.2862433375876695,0.3356725342581897,0.4105151989036315,1.0,0.48057698008341737,0.3024839604629703,0.2733700449364065,0.3285781820829028,0.38116454384650506,0.23822413632279482,0.3692444833188045,0.22578194046566402,0.40723174997709366
MARUTI.NS,0.38839901543807426,0.2723722356562275,0.39347961508303325,0.36680793247367866,0.3050469304055698,0.4112357354390004,0.20545111103706162,0.24218481331904146,0.36343311606903883,0.4156740279538829,0.48057698008341737,1.0,0.30084396442976674,0.2368071224362359,0.370912858137889,0.37710660379741573,0.20953517724373577,0.3576844890503156,0.22651352672908953,0.4359222783051944
NTPC.NS,0.21167041660280023,0.23997627370406815,0.28446352692867594,0.37244171649555846,0.133503717934675,0.32372467666030524,0.1768641870062728,0.2479374833102777,0.2706701530985661,0.3775931233249312,0.3024839604629703,0.30084396442976674,1.0,0.5323189020313098,0.2875502753708712,0.37688575466724134,0.22419948879697937,0.39149819215740994,0.1582654513506113,0.324940382825379
POWERGRID.NS,0.17025993242516746,0.22383170884360148,0.2645736167535623,0.2915210821233659,0.11971716777989845,0.278157905992112,0.13912271104072418,0.2278824538447751,0.24807896232923043,0.32539725053520957,0.2733700449364065,0.2368071224362359,0.5323189020313098,1.0,0.2535460272892066,0.3067271496498735,0.17040315638227413,0.30749023638139034,0.14502497572506448,0.26658373343593017
RELIANCE.NS,0.3193092440155726,0.2797683657424649,0.3937021374263345,0.35977775779531385,0.2581553363725862,0.3656118996163463,0.25567056606420335,0.2515761871877789,0.3557747859764585,0.3696399678882796,0.3285781820829028,0.370912858137889,0.2875502753708712,0.2535460272892066,1.0,0.3649894550052932,0.2517687469248717,0.3682842570358946,0.27205744842043644,0.36233960428705364
SBIN.NS,0.23978373661822705,0.2793434808073705,0.4189102501509654,0.4381481180720673,0.1743483903302606,0.6523605619819846,0.1964786159960996,0.3162306316252913,0.36046368745199897,0.5042729798891442,0.38116454384650506,0.37710660379741573,0.37688575466724134,0.3067271496498735,0.3649894550052932,1.0,0.21704961892779295,0.4511261771913637,0.17901092678956596,0.43526221203041704
SUNPHARMA.NS,0.17622166730904545,0.19213280044787573,0.19851604326909894,0.2689046745228789,0.18140203604340926,0.22789571048314883,0.17120160955646155,0.18356140267426338,0.20812824752432432,0.24615249414944268,0.23822413632279482,0.20953517724373577,0.22419948879697937,0.17040315638227413,0.2517687469248717,0.21704961892779295,1.0,0.27988968660922325,0.16578616694482962,0.25028900831433537
TATASTEEL.NS,0.2421102637593645,0.28342925015907744,0.3508263936326792,0.6929208757711329,0.16491487666404891,0.42635283652277517,0.22400391273558637,0.27883921116809784,0.2944664455555874,0.44846943345960066,0.3692444833188045,0.3576844890503156,0.39149819215740994,0.30749023638139034,0.3682842570358946,0.4511261771913637,0.27988968660922325,1.0,0.22850178339991145,0.42938179836653495
TCS.NS,0.20550406536637728,0.17985719185483737,0.24036771715472563,0.23576278096857245,0.23275384119834364,0.20556653559795338,0.5843848898015581,0.1837034617143147,0.20597743233382196,0.24539305852966029,0.22578194046566402,0.22651352672908953,0.1582654513506113,0.14502497572506448,0.27205744842043644,0.17901092678956596,0.16578616694482962,0.22850178339991145,1.0,0.24591361862165884
ULTRACEMCO.NS,0.41327384525994104,0.31111269788734686,0.40590979194618093,0.4054123162616638,0.2917299480308535,0.45048144317234,0.23418514564052062,0.2636986218788864,0.36802411560314297,0.47226763424380297,0.40723174997709366,0.4359222783051944,0.324940382825379,0.26658373343593017,0.36233960428705364,0.43526221203041704,0.25028900831433537,0.42938179836653495,0.24591361862165884,1.0
